Time	L POR X [px]	L POR Y [px]	L Diam [mm]	R POR X [px]	R POR Y [px]	R Diam [mm]
1494352009654700	824.32	614.99	3.92	957.74	716.55	3.93
1494352009671362	823.92	616.30	3.95	957.83	721.52	3.91
1494352009688037	822.47	616.92	3.94	960.23	716.10	3.91
1494352009704704	823.37	613.56	3.95	957.24	713.95	3.87
1494352009721371	819.34	610.13	3.95	963.25	717.52	3.89
1494352009738039	827.96	619.00	3.96	955.66	710.82	3.90
1494352009754700	830.92	614.60	3.93	956.25	728.39	3.93
1494352009771362	820.05	615.51	3.95	975.13	711.95	3.87
1494352009788043	828.15	617.93	3.95	962.33	709.73	3.89
1494352009804710	829.62	612.76	3.97	974.23	728.87	3.92
1494352009821343	823.57	617.28	3.94	960.02	728.52	3.94
1494352009838045	831.97	615.83	3.94	966.90	712.20	3.90
1494352009854695	830.65	606.64	3.96	976.74	700.15	3.87
1494352009871373	830.88	606.64	3.96	978.89	700.31	3.85
1494352009888040	833.18	615.02	3.94	974.20	706.29	3.87
1494352009904708	832.56	612.02	3.95	971.63	719.73	3.91
1494352009921382	832.60	605.69	3.95	967.31	721.63	3.93
1494352009938050	825.58	618.78	3.94	957.67	729.42	3.94
1494352009954716	825.65	618.02	3.93	961.82	722.39	3.91
1494352009971383	822.83	611.06	3.93	954.85	733.43	3.96
1494352009988046	822.99	610.79	3.95	963.60	720.56	3.90
1494352010004719	822.11	607.81	3.94	958.22	716.99	3.95
1494352010021371	831.85	608.17	3.95	961.88	711.54	3.91
1494352010038043	830.33	606.22	3.96	963.54	732.18	3.97
1494352010054718	824.91	602.78	3.96	967.85	711.16	3.92
1494352010071383	837.05	615.26	3.95	958.07	718.32	3.94
1494352010088047	835.57	615.27	3.98	957.79	721.80	3.93
1494352010104726	826.63	609.94	3.97	962.73	711.80	3.92
1494352010121362	823.22	614.41	3.94	964.69	727.60	3.94
1494352010138056	826.10	619.79	3.94	961.55	723.62	3.94
1494352010154723	829.30	609.07	3.96	974.09	707.49	3.86
