Time	L POR X [px]	L POR Y [px]	L Diam [mm]	R POR X [px]	R POR Y [px]	R Diam [mm]
1498591441095947	414.54	678.64	3.81	574.55	902.29	3.74
1498591441099307	415.06	677.37	3.80	576.51	904.40	3.75
1498591441102583	418.42	678.99	3.81	576.06	903.77	3.75
1498591441105914	414.05	680.65	3.80	574.22	906.50	3.75
1498591441109270	420.14	676.70	3.80	577.11	905.56	3.75
1498591441112632	411.68	681.78	3.80	572.99	905.08	3.75
1498591441115914	417.55	681.97	3.81	577.58	902.08	3.75
1498591441119242	418.46	679.36	3.80	574.40	903.34	3.75
1498591441122603	417.48	678.37	3.81	574.85	906.82	3.75
1498591441125959	408.52	682.70	3.80	576.36	904.06	3.75
1498591441129322	411.98	679.70	3.81	579.29	901.46	3.75
1498591441132563	416.81	678.71	3.81	580.67	905.12	3.75
1498591441135923	416.50	678.98	3.81	581.45	905.25	3.75
1498591441139290	417.14	680.47	3.80	578.67	904.61	3.75
1498591441142643	419.79	682.06	3.81	578.53	901.98	3.75
1498591441145903	414.57	679.75	3.80	578.56	905.32	3.75
1498591441149256	413.48	680.45	3.80	579.55	905.16	3.75
1498591441152612	412.98	677.59	3.81	577.89	903.21	3.75
1498591441155869	413.96	682.46	3.80	578.06	906.84	3.75
1498591441159239	415.20	678.21	3.80	577.76	903.80	3.75
1498591441162574	414.72	679.99	3.81	581.28	906.41	3.75
1498591441165933	413.09	676.39	3.80	580.28	901.26	3.75
1498591441169295	416.92	680.38	3.81	579.02	905.65	3.75
1498591441172579	416.17	681.77	3.81	576.89	907.03	3.75
1498591441175898	418.67	681.23	3.81	575.58	904.89	3.75
1498591441179260	416.62	679.67	3.82	579.31	904.72	3.75
1498591441182624	416.53	679.83	3.82	578.65	903.59	3.75
1498591441185908	417.89	678.24	3.80	579.29	905.56	3.76
1498591441189230	417.10	680.52	3.80	579.81	903.40	3.76
1498591441192591	419.72	676.92	3.81	577.64	903.79	3.75
1498591441195941	416.19	672.38	3.81	578.37	904.97	3.76
1498591441199306	417.83	679.32	3.80	580.03	905.74	3.75
1498591441202537	412.62	681.81	3.81	579.37	902.15	3.75
1498591441205911	417.09	680.91	3.81	577.88	907.06	3.75
1498591441209271	415.86	678.30	3.81	579.81	906.45	3.76
1498591441212632	417.29	682.68	3.81	576.18	902.27	3.75
1498591441215905	413.93	679.25	3.81	576.91	905.13	3.75
1498591441219237	412.86	684.21	3.81	575.94	903.30	3.75
1498591441222587	417.58	680.81	3.81	575.93	905.33	3.75
1498591441225962	414.58	678.24	3.81	575.87	902.68	3.75
1498591441229225	414.32	679.35	3.80	574.64	904.23	3.75
1498591441232558	415.59	678.29	3.81	576.93	903.67	3.74
1498591441235923	419.28	679.56	3.81	575.42	902.58	3.75
